quality,tile,encode_ms,bytes,bpp,psnr
100,16,20.8638,631206,19.26287841796875,99
100,32,20.7891,566122,17.27667236328125,99
100,64,20.2048,571959,17.454803466796875,99
90,16,15.7709,462753,14.122100830078125,42.065161791781556
90,32,14.8404,386028,11.7806396484375,42.065161791781556
90,64,14.81,376551,11.491424560546875,42.065161791781556
82,16,12.6293,336793,10.278106689453125,38.53068437530946
82,32,12.1202,255182,7.78753662109375,38.53068437530946
82,64,11.9687,241228,7.3616943359375,38.53068437530946
70,16,11.565,292638,8.93060302734375,36.219084770070936
70,32,11.4517,207252,6.3248291015625,36.219084770070936
70,64,11.0992,192522,5.87530517578125,36.219084770070936
50,16,10.9501,250661,7.649566650390625,33.14110064497081
50,32,10.5536,162139,4.948089599609375,33.14110064497081
50,64,10.1681,145352,4.435791015625,33.14110064497081
