band,bits_blk,bits_rem,bits_sig,bits_sign,bits_unary,channel,ctx_entropy_bits,ent_blk,ent_rem,ent_sig,ent_sign,ent_unary,file,k0,layer,mode,model_bits,model_blk,model_rem,model_sig,model_sign,model_unary,payload_bytes,zero_blk,zero_entropy_bits,zero_rem,zero_sig,zero_sign,zero_unary
0,,320,4096,2946,4468,0,10446.666141882406,0.0,118.00566634507956,3502.7757635837047,2783.2616665595156,4042.623045394104,out.brbr,5,0,3,11007.123927074987,0.0,157.4083021243502,3688.4542875148672,2853.339902850483,4307.921434585287,1381,0.0,10597.383384415096,171.112507846248,3508.16923979789,2783.2616665595156,4134.839970211443
0,,,4096,3117,5035,1,10673.916617675488,0.0,0.0,3228.9488351044915,2757.357891578429,4687.609890992569,out.brbr,0,0,3,11489.978356065685,0.0,0.0,3630.431507829953,2952.7953172135785,4906.751531022155,1442,0.0,11193.792663266937,0.0,3249.750832125711,3116.9942144062416,4827.047616734983
0,,,4096,2303,2577,2,7462.22684013783,0.0,0.0,3967.7299615280663,2251.739636317749,1242.7572422920139,out.brbr,0,0,3,8002.539337809902,0.0,0.0,4246.806616543464,2337.331091712775,1418.4016295536624,1006,0.0,7608.947357313053,0.0,4050.0746308360804,2299.4126436868396,1259.460082790132
4,,413,12288,3728,3747,0,14704.408900874087,0.0,67.93156175058648,10842.536897452044,3621.89029238939,172.050149282065,out.brbr,0,1,4,15644.488024627972,0.0,86.42631935032269,11329.068699269868,3699.993454100196,528.999551907586,1985,0.0,14810.586144442268,67.93156175058648,10879.67136576077,3690.7933640103065,172.1898529206048
4,,853,12288,4759,4842,1,17297.923727661717,0.0,210.69308887507714,11783.98599839104,4699.714804682639,603.5298357129632,out.brbr,0,1,4,18741.838354931107,0.0,237.88920963356532,12689.497168662221,4760.550899539189,1053.9010770961347,2372,0.0,17406.916412022558,210.69308887507714,11833.68010040505,4756.924874726161,605.6183480162733
4,,22,12288,1116,1116,2,6403.997876845374,0.0,0.0,5324.892946924744,1079.1049299206293,0.0,out.brbr,0,1,4,7231.43663468883,0.0,0.015501485484966196,5683.262428659565,1284.6071048884558,263.55159965532533,933,0.0,6495.890824358208,0.0,5396.914208156593,1098.976616201615,0.0
4,,129,49152,5885,5885,0,31700.476211321267,0.0,0.0,25886.313335261166,5814.162876060103,0.0,out.brbr,0,2,4,33032.723269346294,0.0,0.09089507398002902,26791.20928147152,5872.931406060647,368.49168674012964,4158,0.0,31837.197724411686,0.0,25981.062901584002,5856.134822827684,0.0
4,,103,49152,5362,5362,1,29713.979201798455,0.0,8.122169418778943,24348.83314752791,5357.0238848517665,0.0,out.brbr,0,2,4,30769.6879849254,0.0,11.20353430951743,24864.94932806658,5536.551858024612,356.9832645246899,3876,0.0,29804.52803329894,8.122169418778943,24436.67963629259,5359.726227587571,0.0
4,128,,25600,121,121,2,1320.6467416289129,106.16478435541906,0.0,1103.3133970958042,111.16856017768966,0.0,out.brbr,0,2,4,1930.662967403991,169.45922982232074,0.0,1418.0993965328034,167.49002347478321,175.61431757408354,271,109.71499999083156,1331.2984877278798,0.0,1108.8770468895214,112.70644084752686,0.0
4,256,1,139264,913,913,0,8966.905035068801,138.55224819567758,0.0,7918.387285866569,909.9655010065567,0.0,out.brbr,0,3,4,10661.216417785203,169.3280005750716,0.0007046129765893727,9225.841683073402,1021.3502165257785,244.69581299797346,1362,139.15249745909668,8986.75911308313,0.0,7934.834963358103,912.7716522659299,0.0
