image,q,layer,band,channel,payload_bytes,directory_bytes,coefficients,nonzero,total_stream_bytes
01,30,0,0,0,1429,16,2752,2752,13390
01,30,0,0,1,514,16,2752,2752,13390
01,30,0,0,2,459,16,2752,2752,13390
01,30,1,1,1,134,16,2752,2752,13390
01,30,1,1,2,69,16,2752,2752,13390
01,30,1,2,1,101,16,2752,2752,13390
01,30,1,2,2,49,16,2752,2752,13390
01,30,1,4,0,2658,16,0,0,13390
01,30,2,1,1,14,16,11008,11008,13390
01,30,2,2,1,12,16,10880,10880,13390
01,30,2,4,0,4799,16,0,0,13390
01,30,3,4,0,2896,16,0,0,13390
01,50,0,0,0,1694,16,2752,2752,18053
01,50,0,0,1,569,16,2752,2752,18053
01,50,0,0,2,566,16,2752,2752,18053
01,50,1,1,2,106,16,2752,2752,18053
01,50,1,2,2,67,16,2752,2752,18053
01,50,1,4,0,3076,16,0,0,18053
01,50,1,4,1,339,16,0,0,18053
01,50,2,1,1,40,16,11008,11008,18053
01,50,2,2,1,22,16,10880,10880,18053
01,50,2,4,0,6315,16,0,0,18053
01,50,3,4,0,5019,16,0,0,18053
01,75,0,0,0,1886,16,2752,2752,30154
01,75,0,0,1,809,16,2752,2752,30154
01,75,0,0,2,717,16,2752,2752,30154
01,75,1,4,0,3950,16,0,0,30154
01,75,1,4,1,654,16,0,0,30154
01,75,1,4,2,499,16,0,0,30154
01,75,2,1,1,165,16,11008,11008,30154
01,75,2,1,2,51,16,11008,11008,30154
01,75,2,2,1,127,16,10880,10880,30154
01,75,2,2,2,28,16,10880,10880,30154
01,75,2,4,0,9402,16,0,0,30154
01,75,3,4,0,11610,16,0,0,30154
02,30,0,0,0,1031,16,2752,2752,6760
02,30,0,0,1,779,16,2752,2752,6760
02,30,0,0,2,452,16,2752,2752,6760
02,30,1,1,2,88,16,2752,2752,6760
02,30,1,2,2,59,16,2752,2752,6760
02,30,1,4,0,1298,16,0,0,6760
02,30,1,4,1,515,16,0,0,6760
02,30,2,1,1,64,16,11008,11008,6760
02,30,2,2,1,66,16,10880,10880,6760
02,30,2,4,0,1545,16,0,0,6760
02,30,3,4,0,623,16,0,0,6760
02,50,0,0,0,1253,16,2752,2752,9240
02,50,0,0,1,893,16,2752,2752,9240
02,50,0,0,2,560,16,2752,2752,9240
02,50,1,4,0,1593,16,0,0,9240
02,50,1,4,1,738,16,0,0,9240
02,50,1,4,2,248,16,0,0,9240
02,50,2,1,1,126,16,11008,11008,9240
02,50,2,1,2,14,16,11008,11008,9240
02,50,2,2,1,111,16,10880,10880,9240
02,50,2,4,0,2282,16,0,0,9240
02,50,3,4,0,1182,16,0,0,9240
02,75,0,0,0,1449,16,2752,2752,16398
02,75,0,0,1,1153,16,2752,2752,16398
02,75,0,0,2,807,16,2752,2752,16398
02,75,1,4,0,2348,16,0,0,16398
02,75,1,4,1,1377,16,0,0,16398
02,75,1,4,2,573,16,0,0,16398
02,75,2,1,2,65,16,11008,11008,16398
02,75,2,2,2,38,16,10880,10880,16398
02,75,2,4,0,4450,16,0,0,16398
02,75,2,4,1,720,16,0,0,16398
02,75,3,4,0,3178,16,0,0,16398
03,30,0,0,0,1288,16,2752,2752,7464
03,30,0,0,1,763,16,2752,2752,7464
03,30,0,0,2,524,16,2752,2752,7464
03,30,1,4,0,1514,16,0,0,7464
03,30,1,4,1,405,16,0,0,7464
03,30,1,4,2,268,16,0,0,7464
03,30,2,1,1,48,16,11008,11008,7464
03,30,2,1,2,12,16,11008,11008,7464
03,30,2,2,1,80,16,10880,10880,7464
03,30,2,2,2,10,16,10880,10880,7464
03,30,2,4,0,1696,16,0,0,7464
03,30,3,4,0,600,16,0,0,7464
03,50,0,0,0,1532,16,2752,2752,9687
03,50,0,0,1,834,16,2752,2752,9687
03,50,0,0,2,601,16,2752,2752,9687
03,50,1,4,0,1791,16,0,0,9687
03,50,1,4,1,532,16,0,0,9687
03,50,1,4,2,355,16,0,0,9687
03,50,2,1,2,34,16,11008,11008,9687
03,50,2,2,2,44,16,10880,10880,9687
03,50,2,4,0,2343,16,0,0,9687
03,50,2,4,1,208,16,0,0,9687
03,50,3,4,0,1173,16,0,0,9687
03,75,0,0,0,1725,16,2752,2752,15693
03,75,0,0,1,1077,16,2752,2752,15693
03,75,0,0,2,809,16,2752,2752,15693
03,75,1,4,0,2516,16,0,0,15693
03,75,1,4,1,894,16,0,0,15693
03,75,1,4,2,613,16,0,0,15693
03,75,2,4,0,3968,16,0,0,15693
03,75,2,4,1,469,16,0,0,15693
03,75,2,4,2,243,16,0,0,15693
03,75,3,4,0,3155,16,0,0,15693
04,30,0,0,0,1301,16,2752,2752,8399
04,30,0,0,1,737,16,2752,2752,8399
04,30,0,0,2,556,16,2752,2752,8399
04,30,1,4,0,1787,16,0,0,8399
04,30,1,4,1,534,16,0,0,8399
04,30,1,4,2,324,16,0,0,8399
04,30,2,1,1,23,16,10880,10880,8399
04,30,2,2,1,53,16,11008,11008,8399
04,30,2,4,0,2258,16,0,0,8399
04,30,3,4,0,602,16,0,0,8399
04,50,0,0,0,1537,16,2752,2752,11209
04,50,0,0,1,845,16,2752,2752,11209
04,50,0,0,2,642,16,2752,2752,11209
04,50,1,4,0,2101,16,0,0,11209
04,50,1,4,1,756,16,0,0,11209
04,50,1,4,2,467,16,0,0,11209
04,50,2,1,1,80,16,10880,10880,11209
04,50,2,1,2,17,16,10880,10880,11209
04,50,2,2,1,102,16,11008,11008,11209
04,50,2,4,0,3189,16,0,0,11209
04,50,3,4,0,1233,16,0,0,11209
04,75,0,0,0,1748,16,2752,2752,18965
04,75,0,0,1,1101,16,2752,2752,18965
04,75,0,0,2,873,16,2752,2752,18965
04,75,1,4,0,2877,16,0,0,18965
04,75,1,4,1,1286,16,0,0,18965
04,75,1,4,2,898,16,0,0,18965
04,75,2,1,1,289,16,10880,10880,18965
04,75,2,1,2,102,16,10880,10880,18965
04,75,2,2,1,301,16,11008,11008,18965
04,75,2,2,2,96,16,11008,11008,18965
04,75,2,4,0,5457,16,0,0,18965
04,75,3,4,0,3681,16,0,0,18965
05,30,0,0,0,1914,16,2752,2752,19358
05,30,0,0,1,1069,16,2752,2752,19358
05,30,0,0,2,727,16,2752,2752,19358
05,30,1,4,0,3496,16,0,0,19358
05,30,1,4,1,857,16,0,0,19358
05,30,1,4,2,441,16,0,0,19358
05,30,2,1,1,63,16,11008,11008,19358
05,30,2,1,2,18,16,11008,11008,19358
05,30,2,2,1,83,16,10880,10880,19358
05,30,2,2,2,34,16,10880,10880,19358
05,30,2,4,0,6352,16,0,0,19358
05,30,3,4,0,4048,16,0,0,19358
05,50,0,0,0,2164,16,2752,2752,25276
05,50,0,0,1,1195,16,2752,2752,25276
05,50,0,0,2,841,16,2752,2752,25276
05,50,1,4,0,3929,16,0,0,25276
05,50,1,4,1,1141,16,0,0,25276
05,50,1,4,2,651,16,0,0,25276
05,50,2,1,2,50,16,11008,11008,25276
05,50,2,2,2,73,16,10880,10880,25276
05,50,2,4,0,7961,16,0,0,25276
05,50,2,4,1,334,16,0,0,25276
05,50,3,4,0,6697,16,0,0,25276
05,75,0,0,0,2364,16,2752,2752,39466
05,75,0,0,1,1493,16,2752,2752,39466
05,75,0,0,2,1118,16,2752,2752,39466
05,75,1,4,0,4823,16,0,0,39466
05,75,1,4,1,1891,16,0,0,39466
05,75,1,4,2,1241,16,0,0,39466
05,75,2,4,0,11365,16,0,0,39466
05,75,2,4,1,913,16,0,0,39466
05,75,2,4,2,433,16,0,0,39466
05,75,3,4,0,13601,16,0,0,39466
06,30,0,0,0,1253,16,2752,2752,10411
06,30,0,0,1,554,16,2752,2752,10411
06,30,0,0,2,360,16,2752,2752,10411
06,30,1,1,2,26,16,2752,2752,10411
06,30,1,2,2,53,16,2752,2752,10411
06,30,1,4,0,2066,16,0,0,10411
06,30,1,4,1,271,16,0,0,10411
06,30,2,2,1,21,16,10880,10880,10411
06,30,2,4,0,3394,16,0,0,10411
06,30,3,4,0,2189,16,0,0,10411
06,50,0,0,0,1487,16,2752,2752,13963
06,50,0,0,1,648,16,2752,2752,13963
06,50,0,0,2,416,16,2752,2752,13963
06,50,1,4,0,2399,16,0,0,13963
06,50,1,4,1,391,16,0,0,13963
06,50,1,4,2,161,16,0,0,13963
06,50,2,1,1,19,16,11008,11008,13963
06,50,2,2,1,40,16,10880,10880,13963
06,50,2,4,0,4515,16,0,0,13963
