image,q,luma_detail,base_luma,base_chroma,chroma_detail,other_detail,dir,total
01,30,10353,1429,973,0,379,192,13390
01,50,14410,1694,1135,339,235,176,18053
01,75,24962,1886,1526,1153,371,192,30154
02,30,3466,1031,1231,515,277,176,6760
02,50,5057,1253,1453,986,251,176,9240
02,75,9976,1449,1960,2670,103,176,16398
03,30,3810,1288,1287,673,150,192,7464
03,50,5307,1532,1435,1095,78,176,9687
03,75,9639,1725,1886,2219,0,160,15693
04,30,4647,1301,1293,858,76,160,8399
04,50,6523,1537,1487,1223,199,176,11209
04,75,12015,1748,1974,2184,788,192,18965
05,30,13896,1914,1796,1298,198,192,19358
05,50,18587,2164,2036,2126,123,176,25276
05,75,29789,2364,2611,4478,0,160,39466
06,30,7649,1253,914,271,100,160,10411
06,50,10577,1487,1064,552,59,160,13963
06,75,18361,1694,1516,1579,75,176,23465
07,30,6334,1488,1411,824,60,160,10341
07,50,8439,1745,1642,1186,159,176,13411
07,75,13992,1932,2146,2767,219,176,21296
08,30,13258,1714,1292,589,219,176,17312
08,50,17617,1976,1493,1115,165,160,22590
08,75,27734,2181,2020,3006,139,176,35320
0801x2,30,12307,1886,1048,309,106,192,15912
0801x2,50,16851,2144,1251,649,116,176,21251
0801x2,75,28135,2354,1725,2116,48,176,34618
0802x2,30,5590,1971,2809,3022,597,192,14245
0802x2,50,8340,2221,3089,4121,369,176,18380
0802x2,75,14214,2423,3695,8399,0,160,28955
0803x2,30,5417,1781,2531,2528,0,160,12481
0803x2,50,7069,2075,2822,3536,0,160,15726
0803x2,75,11298,2311,3464,6403,0,160,23700
0804x2,30,10200,1550,1510,2456,83,176,16039
0804x2,50,13850,1768,1743,3448,0,160,21033
0804x2,75,22270,1951,2170,5960,0,160,32575
0805x2,30,10100,2033,1363,259,0,112,13931
0805x2,50,14213,2329,1573,464,53,160,18856
0805x2,75,24725,2553,2073,1755,239,160,31569
0806x2,30,6567,1568,1280,1080,20,176,10755
0806x2,50,8954,1814,1491,1626,48,176,14173
0806x2,75,14988,2008,1987,3558,0,160,22765
0807x2,30,10554,1455,1889,2610,227,176,16975
0807x2,50,14837,1668,2111,4203,0,160,23043
0807x2,75,25081,1839,2613,8300,0,160,38057
0808x2,30,6214,1228,1285,1171,0,144,10106
0808x2,50,8420,1433,1453,1728,43,176,13317
0808x2,75,13876,1597,1936,3684,0,160,21317
0809x2,30,8341,1692,1533,744,52,176,12602
0809x2,50,11685,1956,1770,1216,159,192,17042
0809x2,75,20711,2155,2339,3535,0,160,28964
0810x2,30,8396,1717,1343,203,95,160,11978
0810x2,50,12238,2007,1573,481,29,160,16552
0810x2,75,21338,2238,2046,1273,249,192,27400
0811x2,30,7102,1601,1414,1047,1328,176,12732
0811x2,50,11895,1854,1648,1663,12,160,17296
0811x2,75,20971,2069,2135,3924,142,176,29481
0812x2,30,9083,1666,962,455,50,160,12440
0812x2,50,12121,1940,1109,668,147,176,16225
0812x2,75,19885,2161,1633,1914,75,176,25908
0813x2,30,8910,1810,1631,1747,104,176,14442
0813x2,50,11673,2068,1819,2552,0,160,18336
0813x2,75,18593,2287,2375,4637,0,160,28116
0814x2,30,5580,930,892,802,14,160,8442
0814x2,50,7331,1066,986,1160,38,176,10821
0814x2,75,11349,1251,1371,2623,0,160,16818
0815x2,30,7412,1802,1964,2006,0,160,13408
0815x2,50,10044,2061,2219,2989,0,160,17537
0815x2,75,16435,2267,2812,6182,0,160,27920
0816x2,30,6390,1482,727,0,203,128,8994
0816x2,50,8876,1725,928,354,14,128,12089
0816x2,75,15389,1934,1360,843,231,192,20013
0817x2,30,8893,1812,2360,3888,297,176,17490
0817x2,50,12017,2101,2660,5887,0,160,22889
0817x2,75,20033,2339,3305,10547,0,160,36448
0818x2,30,10568,1800,1624,1643,96,176,15971
0818x2,50,14051,2064,1914,2659,0,160,20912
0818x2,75,22264,2292,2485,5796,0,160,33061
0819x2,30,11010,1793,1674,1327,47,176,16091
0819x2,50,15255,2045,1922,2198,0,160,21644
0819x2,75,26050,2244,2521,5342,0,160,36381
0820x2,30,17016,1819,1112,591,140,160,20902
0820x2,50,22015,2074,1349,882,294,192,26870
0820x2,75,33464,2283,1761,2821,0,160,40553
0821x2,30,20518,2165,2367,3489,71,176,28850
0821x2,50,25549,2428,2619,4992,0,160,35812
0821x2,75,37201,2632,3158,9057,0,160,52272
0822x2,30,13988,2176,2151,1915,54,176,20524
0822x2,50,19114,2483,2442,2980,138,176,27397
0822x2,75,31591,2717,3153,7023,0,160,44708
0823x2,30,8985,1388,1194,1322,10,160,13123
0823x2,50,11886,1598,1402,1923,50,176,17099
0823x2,75,18606,1769,1874,3971,0,160,26444
0824x2,30,8509,1630,1067,871,32,160,12333
0824x2,50,11042,1879,1217,1220,80,176,15678
0824x2,75,17212,2077,1765,2667,56,176,24017
0825x2,30,12448,1811,1575,2051,0,160,18109
0825x2,50,16404,2062,1811,2993,0,160,23494
0825x2,75,25754,2271,2360,5713,0,160,36322
0826x2,30,9890,1590,1566,2244,90,176,15620
0826x2,50,13440,1860,1807,3434,0,160,20765
0826x2,75,21925,2063,2346,6344,0,160,32902
0827x2,30,4173,1319,811,299,125,176,6967
0827x2,50,5688,1590,1016,671,15,160,9204
0827x2,75,10306,1815,1583,1582,69,176,15595
0828x2,30,17493,1781,1797,2983,0,144,24262
0828x2,50,22141,2047,2048,4340,42,176,30858
0828x2,75,32169,2244,2635,8265,0,160,45537
0829x2,30,6398,1580,1967,1629,75,176,11889
0829x2,50,8642,1825,2235,2245,229,176,15416
0829x2,75,14785,2026,2777,4917,0,160,24729
0830x2,30,8706,2939,1791,472,82,128,14182
0830x2,50,11165,3503,2120,735,147,128,17862
0830x2,75,17085,3986,2938,2142,0,112,26327
0831x2,30,10495,1819,1642,1272,276,192,15760
0831x2,50,13895,2076,1874,2241,100,176,20426
0831x2,75,22292,2263,2428,4921,0,160,32128
0832x2,30,11346,1859,1563,1448,14,160,16454
0832x2,50,14973,2111,1765,2067,79,176,21235
0832x2,75,23483,2314,2349,4512,0,160,32882
0833x2,30,5259,1318,1034,1015,70,176,8936
0833x2,50,6827,1543,1175,1544,0,160,11313
0833x2,75,10650,1731,1567,2747,0,160,16919
0834x2,30,8421,1566,1345,956,28,176,12556
0834x2,50,11579,1822,1559,1481,51,176,16732
0834x2,75,19395,2010,2062,3628,0,160,27319
0835x2,30,13798,2008,1258,537,65,176,17906
0835x2,50,19553,2317,1469,1131,44,176,24754
0835x2,75,33411,2558,2064,3387,0,160,41644
0836x2,30,10303,1681,1768,2264,86,176,16342
0836x2,50,13525,1963,2011,3143,176,176,21058
0836x2,75,21339,2168,2557,6192,0,160,32480
0837x2,30,13919,1918,1832,1935,46,160,19874
0837x2,50,18496,2162,2086,2913,130,176,26027
0837x2,75,28980,2371,2683,6511,0,160,40769
0838x2,30,2777,1536,1387,381,197,160,6502
0838x2,50,4063,1773,1607,569,47,160,8283
0838x2,75,7265,1974,2062,1583,35,176,13159
0839x2,30,6745,1200,777,360,51,128,9325
0839x2,50,9314,1380,914,557,120,144,12493
0839x2,75,15969,1519,1215,1814,0,144,20725
0840x2,30,11365,1862,1269,305,0,128,14993
0840x2,50,15676,2124,1419,568,34,176,20061
0840x2,75,26264,2328,1902,1825,172,176,32731
0841x2,30,8427,1491,1120,874,0,144,12120
