profile,category,sample,source_width,source_height,width,height,quality,tile,base_target,layer,prefix_bytes,full_bytes,fraction_of_full,decode_ms,psnr,ssim_windowed,ms_ssim_windowed,ms_ssim_luma,legacy_ms_ssim_proxy
chat_preview,photo,kodak_01,768,512,512,341,1,64,32,0,817,3277,0.24931339639914557,4.85229,19.463016909944074,0.2468088049747824,0.6130429800986423,0.6166395124013383,0.7745251276443487
chat_preview,photo,kodak_01,768,512,512,341,1,64,32,1,1497,3277,0.4568202624351541,4.72992,20.260631128587953,0.3541789645022149,0.7322596894393952,0.7414179122082749,0.8401769868512126
chat_preview,photo,kodak_01,768,512,512,341,1,64,32,2,2402,3277,0.7329874885566067,5.27229,21.31599843544504,0.5102668334042841,0.8331874168404494,0.8482617654686565,0.898480684436758
chat_preview,photo,kodak_01,768,512,512,341,1,64,32,3,3206,3277,0.9783338419285932,5.12862,22.285450943036405,0.6005242979319761,0.8751735456755982,0.8924150916430943,0.9257607764306338
chat_preview,photo,kodak_01,768,512,512,341,1,64,32,4,3277,3277,1.0,4.97075,22.339466882628717,0.6013967692993955,0.8754278875737468,0.8926533853180842,0.9266922816710833
chat_preview,photo,kodak_01,768,512,512,341,1,64,64,0,2103,8875,0.23695774647887324,4.86896,20.35798895710205,0.3604382899559185,0.7406968723521127,0.7491378617656259,0.8440770229314266
chat_preview,photo,kodak_01,768,512,512,341,1,64,64,1,4283,8875,0.48259154929577464,5.01371,21.75041955248905,0.5524028425996922,0.8643522596155023,0.8730264266080725,0.9114134318910877
chat_preview,photo,kodak_01,768,512,512,341,1,64,64,2,7525,8875,0.847887323943662,5.27954,23.911933678834018,0.7309951247209936,0.9364427528821514,0.9461221743007481,0.9573396559800866
chat_preview,photo,kodak_01,768,512,512,341,1,64,64,3,8875,8875,1.0,6.09104,25.02346496552551,0.7802431689284854,0.9471453477107996,0.9566910379720136,0.9672015826176393
chat_preview,photo,kodak_01,768,512,512,341,2,64,32,0,843,3313,0.2544521581648053,4.81692,19.457442017692085,0.2470061954477031,0.6130758303958481,0.6168253618881782,0.7745011460452592
chat_preview,photo,kodak_01,768,512,512,341,2,64,32,1,1523,3313,0.45970419559311804,4.76567,20.259116392391814,0.3542544067714372,0.732608121556118,0.7418856649382491,0.8404301721643329
chat_preview,photo,kodak_01,768,512,512,341,2,64,32,2,2428,3313,0.7328705101116813,5.07233,21.309603306965492,0.5103541796634842,0.8333160984644247,0.8485816592987605,0.898603758067023
chat_preview,photo,kodak_01,768,512,512,341,2,64,32,3,3238,3313,0.9773619076365831,5.18583,22.279776640470153,0.6006076175444865,0.8751868808588914,0.8926105135998362,0.925967715776413
chat_preview,photo,kodak_01,768,512,512,341,2,64,32,4,3313,3313,1.0,5.24492,22.34120526290202,0.6015430733667441,0.8754742985679039,0.8928758912692121,0.9270241053784263
chat_preview,photo,kodak_01,768,512,512,341,2,64,64,0,2181,8953,0.24360549536468223,4.60871,20.353043184917283,0.3607353487681239,0.7412017346635636,0.7498214097118847,0.8443454259598883
chat_preview,photo,kodak_01,768,512,512,341,2,64,64,1,4361,8953,0.4870992963252541,4.99058,21.74503679145639,0.55271503332105,0.8647786301734404,0.8737466772651353,0.9115590063990536
chat_preview,photo,kodak_01,768,512,512,341,2,64,64,2,7603,8953,0.849212554451022,5.40358,23.906603930471135,0.7314683015293154,0.9367484632781755,0.9467494024384099,0.9574222758537124
chat_preview,photo,kodak_01,768,512,512,341,2,64,64,3,8953,8953,1.0,5.86983,25.017675945555084,0.7807286826469982,0.9474407597951947,0.9573141804240416,0.9672799556613116
chat_preview,photo,kodak_01,768,512,512,341,3,64,32,0,843,3391,0.24859923326452374,4.68096,19.457442017692085,0.2470061954477031,0.6130758303958481,0.6168253618881782,0.7745011460452592
chat_preview,photo,kodak_01,768,512,512,341,3,64,32,1,1535,3391,0.4526688292539074,4.69858,20.260191152194263,0.3543747931574222,0.7325555127065569,0.7422045314620472,0.8403576454657675
chat_preview,photo,kodak_01,768,512,512,341,3,64,32,2,2472,3391,0.7289884989678561,4.93721,21.316895151215892,0.5130864253337722,0.833953062848511,0.8494790885667947,0.898549640151769
chat_preview,photo,kodak_01,768,512,512,341,3,64,32,3,3314,3391,0.9772928339722796,4.90017,22.300218892640817,0.60519098509031,0.8765010689282757,0.8940683343074649,0.9264419947653129
chat_preview,photo,kodak_01,768,512,512,341,3,64,32,4,3391,3391,1.0,5.13083,22.36598131177153,0.6062273743378198,0.8768023685976551,0.8943489571743761,0.9275678217431897
chat_preview,photo,kodak_01,768,512,512,341,3,64,64,0,2181,9183,0.23750408363279973,4.87292,20.353043184917283,0.3607353487681239,0.7412017346635636,0.7498214097118847,0.8443454259598883
chat_preview,photo,kodak_01,768,512,512,341,3,64,64,1,4391,9183,0.4781661766307307,5.15625,21.74780353897951,0.5528480532534038,0.8647125947891183,0.8737300781476209,0.9115965352431965
chat_preview,photo,kodak_01,768,512,512,341,3,64,64,2,7755,9183,0.8444952629859523,5.46833,23.929514500491088,0.733853454064755,0.9374934029103027,0.9475086929869958,0.9577238454983872
chat_preview,photo,kodak_01,768,512,512,341,3,64,64,3,9183,9183,1.0,6.18029,25.078104579446737,0.7847563610133995,0.9483438883186172,0.9582750591904455,0.9677847903723734
chat_preview,photo,kodak_01,768,512,512,341,4,64,32,0,843,3437,0.24527203956939192,4.62833,19.457442017692085,0.2470061954477031,0.6130758303958481,0.6168253618881782,0.7745011460452592
chat_preview,photo,kodak_01,768,512,512,341,4,64,32,1,1535,3437,0.4466104160605179,4.81321,20.260191152194263,0.3543747931574222,0.7325555127065569,0.7422045314620472,0.8403576454657675
chat_preview,photo,kodak_01,768,512,512,341,4,64,32,2,2480,3437,0.7215594995635729,5.11675,21.316865657176052,0.513531652165109,0.834062116817721,0.8496205279858983,0.898554954276865
chat_preview,photo,kodak_01,768,512,512,341,4,64,32,3,3356,3437,0.9764329356997381,5.25096,22.307183098069878,0.6079837012554264,0.8771586361120849,0.8947976017378141,0.9266299533343896
chat_preview,photo,kodak_01,768,512,512,341,4,64,32,4,3437,3437,1.0,5.46037,22.38220206532827,0.6090895717158678,0.8774595722434467,0.8950722046990196,0.9278785251517436
