pattern,size,encode_ms,decode_ms,bytes,bpp,psnr,failure
checker,512,8.14429,5.55892,182693,5.575347900390625,62.72101905846574,high-frequency residual
one_pixel_lines,512,10.2538,6.6055,414151,12.638885498046875,40.80880007813249,high-frequency residual
noise,512,25.1086,8.43875,785670,23.97674560546875,37.42951655394611,high-frequency residual
gradient,512,7.57508,4.90679,46007,1.404022216796875,43.09657888291304,
texture,512,8.33762,5.51767,121040,3.69384765625,37.8732154575274,high-frequency residual
edge,512,7.53371,5.0395,70655,2.156219482421875,46.32947572985692,
text_ui,512,8.51958,5.28346,76244,2.3267822265625,43.258567734331386,
checker,1024,28.5086,19.2232,716079,5.463249206542969,65.60748494760463,high-frequency residual
one_pixel_lines,1024,36.0362,23.7499,1646752,12.563720703125,39.22648655724487,high-frequency residual
noise,1024,96.1854,30.1074,3131850,23.894119262695312,36.01010693066592,high-frequency residual
gradient,1024,24.9371,16.7549,139483,1.0641708374023438,43.9325590012978,
texture,1024,28.7489,18.9218,446957,3.4100112915039062,36.2712281749158,high-frequency residual
edge,1024,25.3981,16.9234,203493,1.5525283813476562,46.22660795126468,
text_ui,1024,25.9768,17.149,252270,1.9246673583984375,41.47973907361019,
