image,size,layer,decode_ms,psnr,ms_ssim
kodak_01,512,0,5.83854,20.236607130460857,0.8540698387985631
kodak_01,512,1,5.55554,21.814999702708455,0.9211914299248319
kodak_01,512,2,6.09146,25.15799258637907,0.9743803556454009
kodak_01,512,3,7.68646,38.53068437530946,0.9979227767762433
kodak_01,1024,0,19.0842,20.039292451726148,0.810442429916801
kodak_01,1024,1,18.5407,21.538055984729368,0.8863422538447904
kodak_01,1024,2,19.8859,24.380590110714387,0.9521129387037299
kodak_01,1024,3,20.6613,31.383634069058374,0.9929889339738088
kodak_01,1024,4,25.4012,37.41210537980122,0.9972030562349208
kodak_02,512,0,5.73767,26.275510397896934,0.9143727242573222
kodak_02,512,1,6.04425,27.96733353258861,0.953110104341428
kodak_02,512,2,6.43783,30.94154330753589,0.98129450429564
kodak_02,512,3,7.67637,38.578466190010694,0.9949516322494123
kodak_02,1024,0,17.9689,26.110480781754262,0.8886041726921429
kodak_02,1024,1,41.4372,27.624384321117542,0.9305071168324158
kodak_02,1024,2,18.8477,30.20157591247917,0.9670401370310766
kodak_02,1024,3,20.8771,35.261000668531594,0.9904954075339882
kodak_02,1024,4,22.4736,37.690770077663345,0.9932083150038878
kodak_03,512,0,5.55863,26.422101966040763,0.9779847091798154
kodak_03,512,1,5.69567,28.418543883309944,0.988896343201949
kodak_03,512,2,5.95337,31.350004059313502,0.9954296747161315
kodak_03,512,3,6.95662,39.15225990402469,0.9987696571457476
kodak_03,1024,0,19.5077,26.401753438060446,0.97145524282085
kodak_03,1024,1,18.9586,28.35863509267988,0.9840131520397581
kodak_03,1024,2,18.2963,31.058339145151965,0.9923946881790257
kodak_03,1024,3,19.2975,36.69159434416896,0.997968260048413
kodak_03,1024,4,22.3992,38.43926942070446,0.9983712157997487
kodak_04,512,0,5.58292,25.031222713352335,0.9618499265705612
kodak_04,512,1,5.68696,27.15869749461255,0.9806570981096385
kodak_04,512,2,5.85408,30.7312862743128,0.9935849154408533
kodak_04,512,3,7.54783,38.63560493169457,0.9983422693879058
kodak_04,1024,0,18.5385,24.901421886373328,0.9498933750270798
kodak_04,1024,1,19.0165,26.892054872493514,0.97141991507475
kodak_04,1024,2,22.9205,29.956154023326373,0.9881852583522586
kodak_04,1024,3,21.9757,35.432846802843045,0.9968294412894555
kodak_04,1024,4,22.9207,37.649086461660474,0.9976312367802137
kodak_05,512,0,5.55467,19.234580114684906,0.879536360519745
kodak_05,512,1,6.17029,21.476106861003426,0.9477223632794848
kodak_05,512,2,7.41267,25.09362393391286,0.9837146511499727
kodak_05,512,3,7.80092,38.21034912240328,0.9985416078647155
kodak_05,1024,0,18.3011,19.05764666202145,0.8445777775725914
kodak_05,1024,1,18.8412,21.186603646385297,0.9233278598109993
kodak_05,1024,2,18.7506,24.33961000851811,0.9702023064219331
kodak_05,1024,3,20.4687,31.182670530581575,0.9951389991725127
kodak_05,1024,4,24.7918,37.18152890953533,0.9980125648944389
kodak_06,512,0,5.26821,22.403033279598205,0.9701242852946343
kodak_06,512,1,5.4955,23.873539184226125,0.981874008421887
kodak_06,512,2,5.73325,26.69254383708353,0.9921357367994846
kodak_06,512,3,7.734,38.75761606968927,0.999168903183986
kodak_06,1024,0,19.1431,22.33815738186997,0.959096137898723
kodak_06,1024,1,18.5028,23.753294770868273,0.9731688004002907
kodak_06,1024,2,18.9608,26.45945627612427,0.9868648344965945
kodak_06,1024,3,19.9755,33.080699778075136,0.9976610598877557
kodak_06,1024,4,23.3616,37.778858413459076,0.9988435442610369
kodak_07,512,0,5.29771,22.861712725657455,0.922529438565053
kodak_07,512,1,6.00379,25.98441968884773,0.9715859278386964
kodak_07,512,2,5.83487,30.453019551678736,0.9928335543315104
kodak_07,512,3,6.84167,38.73193514109306,0.9983029473180498
kodak_07,1024,0,18.1151,22.80724274961952,0.9030112431291065
kodak_07,1024,1,18.1728,25.861302846976,0.9597427223256589
kodak_07,1024,2,19.3327,29.879022417802652,0.9874244407538423
kodak_07,1024,3,20.0439,35.82555221645154,0.9970089111212518
kodak_07,1024,4,22.1752,37.955507088545524,0.9977450279652084
kodak_08,512,0,6.80171,17.312971169734833,0.8853011144786982
kodak_08,512,1,5.944,19.29368134707261,0.9443103832442811
kodak_08,512,2,6.35804,22.762656160996855,0.9822736865897872
kodak_08,512,3,8.05679,38.37085778726073,0.9991332957935906
kodak_08,1024,0,17.9226,17.051964438602138,0.8510948157568397
kodak_08,1024,1,18.1804,18.861282001038578,0.9173987870614433
kodak_08,1024,2,19.0842,21.752484819339017,0.9655325976728552
kodak_08,1024,3,20.9929,28.229123897681056,0.9945093543422178
kodak_08,1024,4,24.9884,37.25919134334404,0.998808687673277
kodak_09,512,0,5.91992,23.718678981997034,0.9358939667595257
kodak_09,512,1,5.85217,26.05977245550923,0.9701219687021873
kodak_09,512,2,6.07246,30.05141464279975,0.9913746758954541
kodak_09,512,3,7.13917,39.17188144456108,0.9983652582786339
kodak_09,1024,0,18.3411,23.594046309185256,0.9174542938373902
kodak_09,1024,1,18.5928,25.855397703657758,0.9571996714816987
kodak_09,1024,2,18.9353,29.33622453251325,0.9842321404779775
kodak_09,1024,3,20.1525,35.43977969487111,0.9966595194835057
kodak_09,1024,4,22.8068,38.355679346886845,0.9978062895903702
kodak_10,512,0,5.50146,24.112285113358766,0.9461179973962459
kodak_10,512,1,5.56679,25.96256580061148,0.9710956058616256
kodak_10,512,2,5.84079,29.76956731438484,0.9909673707274936
kodak_10,512,3,7.58196,38.87116796824499,0.9982393763293118
kodak_10,1024,0,17.9816,24.025091140387325,0.9302336907501757
kodak_10,1024,1,18.067,25.797771522786643,0.9585110820410443
kodak_10,1024,2,19.023,29.07506892228188,0.9835353467313561
kodak_10,1024,3,20.1769,35.46083263062402,0.9965970477249136
kodak_10,1024,4,22.629,38.08728694553381,0.9976450851204176
kodak_11,512,0,5.6695,22.994122936426763,0.9453339665198603
kodak_11,512,1,5.37879,24.725102187981797,0.9707054555450989
kodak_11,512,2,6.012,27.881301287803097,0.989167112436954
kodak_11,512,3,7.26562,38.75832300469496,0.9984859942000909
kodak_11,1024,0,18.3535,22.80803457824716,0.9272805874595044
kodak_11,1024,1,20.1669,24.457619453781216,0.9568158115823501
kodak_11,1024,2,19.1752,27.194708098223906,0.9803851408235958
kodak_11,1024,3,21.2653,33.39408946697509,0.9960502574213551
kodak_11,1024,4,24.6447,37.835650036927795,0.9979325900481543
kodak_12,512,0,5.83562,24.547095188027388,0.9663099758308153
kodak_12,512,1,5.29379,26.49281976522944,0.9820911842644403
kodak_12,512,2,5.73617,30.347106740483135,0.9944213557413504
kodak_12,512,3,7.38579,38.87466445257217,0.9987588787490296
kodak_12,1024,0,18.7094,24.492299614335053,0.9564031233917238
kodak_12,1024,1,18.1569,26.26029064823833,0.9734420832849869
kodak_12,1024,2,19.4789,29.709744154208572,0.9898480696785941
kodak_12,1024,3,21.0381,35.77227794923489,0.9977389949774698
kodak_12,1024,4,24.2736,38.08839434797897,0.9983573160534717
kodak_13,512,0,5.90333,19.295459855483085,0.9181985552268421
kodak_13,512,1,5.444,20.621214924330673,0.9510013756360074
kodak_13,512,2,6.04671,23.564853172225956,0.9815095854839513
