codec,image,size,quality,tile,encode_ms,decode_ms,bytes,bpp,psnr,ms_ssim_proxy,lpips,lpips_status,constraint_status
CAPS,kodak_01,512,100,32,21.1046,9.42879,566122,17.27667236328125,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_01,512,90,32,15.8588,8.44375,386028,11.7806396484375,42.065161791781556,0.9991503776301834,,unavailable,unverified_lpips
CAPS,kodak_01,512,82,32,12.9954,7.111,255182,7.78753662109375,38.53068437530946,0.9979227767762433,,unavailable,unverified_lpips
CAPS,kodak_01,512,82,64,12.4026,6.84408,241228,7.3616943359375,38.53068437530946,0.9979227767762433,,unavailable,unverified_lpips
CAPS,kodak_01,512,70,32,11.3716,6.25233,207252,6.3248291015625,36.219084770070936,0.995985812126751,,unavailable,unverified_lpips
CAPS,kodak_01,512,50,32,11.2512,6.55258,162139,4.948089599609375,33.14110064497081,0.9911742609716524,,unavailable,unverified_lpips
CAPS,kodak_01,512,35,32,10.3389,6.668,146394,4.46759033203125,31.60071767477436,0.9867869434893831,,unavailable,unverified_lpips
CAPS,kodak_01,512,20,32,10.2745,6.40008,132090,4.03106689453125,29.709219034775977,0.9793347335597015,,unavailable,unverified_lpips
CAPS,kodak_01,1024,100,32,69.007,32.2936,1820075,13.886070251464844,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_01,1024,90,32,48.8211,25.5635,1156706,8.824966430664062,40.98571482910753,0.9988457247380904,,unavailable,unverified_lpips
CAPS,kodak_01,1024,82,32,39.429,22.9007,684103,5.219291687011719,37.41210537980122,0.9972030562349208,,unavailable,unverified_lpips
CAPS,kodak_01,1024,82,64,42.1486,23.1696,611036,4.661834716796875,37.41210537980122,0.9972030562349208,,unavailable,unverified_lpips
CAPS,kodak_01,1024,70,32,36.2566,21.9425,540739,4.125511169433594,35.22207927136458,0.9948458051374428,,unavailable,unverified_lpips
CAPS,kodak_01,1024,50,32,33.2219,20.9233,416166,3.1750946044921875,32.225283807314895,0.9893094188942227,,unavailable,unverified_lpips
CAPS,kodak_01,1024,35,32,33.0721,21.2059,374904,2.86029052734375,30.699341990137846,0.98401217848456,,unavailable,unverified_lpips
CAPS,kodak_01,1024,20,32,32.0054,20.6118,339153,2.5875320434570312,28.880867135678198,0.9752757169549259,,unavailable,unverified_lpips
CAPS,kodak_02,512,100,32,19.6431,8.98008,548496,16.73876953125,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_02,512,90,32,14.5037,7.97875,360866,11.01275634765625,42.04520177177653,0.997926430944898,,unavailable,unverified_lpips
CAPS,kodak_02,512,82,32,11.7599,6.95508,213484,6.5150146484375,38.578466190010694,0.9949516322494123,,unavailable,unverified_lpips
CAPS,kodak_02,512,82,64,11.7196,6.96617,202625,6.183624267578125,38.578466190010694,0.9949516322494123,,unavailable,unverified_lpips
CAPS,kodak_02,512,70,32,12.7662,6.86762,161991,4.943572998046875,36.57962128120317,0.9910845797813197,,unavailable,unverified_lpips
CAPS,kodak_02,512,50,32,9.40196,6.48742,119092,3.6343994140625,34.396125064977376,0.9843769495859893,,unavailable,unverified_lpips
CAPS,kodak_02,512,35,32,8.78496,6.00887,105103,3.207489013671875,32.22027973960362,0.9737826184784046,,unavailable,unverified_lpips
CAPS,kodak_02,512,20,32,8.57596,5.72654,94062,2.87054443359375,30.673301662969482,0.9636419419698145,,unavailable,unverified_lpips
CAPS,kodak_02,1024,100,32,65.9228,32.223,1710941,13.053443908691406,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_02,1024,90,32,46.0697,25.7197,1045176,7.97406005859375,40.959297968311645,0.9970486381983737,,unavailable,unverified_lpips
CAPS,kodak_02,1024,82,32,34.5101,22.2222,545403,4.161094665527344,37.690770077663345,0.9932083150038878,,unavailable,unverified_lpips
CAPS,kodak_02,1024,82,64,34.9984,21.964,477155,3.6404037475585938,37.690770077663345,0.9932083150038878,,unavailable,unverified_lpips
CAPS,kodak_02,1024,70,32,31.7038,21.6943,393379,3.0012435913085938,35.734125355912255,0.9882789869660221,,unavailable,unverified_lpips
CAPS,kodak_02,1024,50,32,30.6396,20.3756,288272,2.1993408203125,33.57420137561704,0.9797792092776945,,unavailable,unverified_lpips
CAPS,kodak_02,1024,35,32,29.0844,18.863,258266,1.9704132080078125,31.52982395435352,0.9672990456760946,,unavailable,unverified_lpips
CAPS,kodak_02,1024,20,32,27.8147,18.7351,234223,1.7869796752929688,30.16345038065644,0.9569646531214921,,unavailable,unverified_lpips
CAPS,kodak_03,512,100,32,18.7494,9.02937,492108,15.0179443359375,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_03,512,90,32,13.5996,7.38521,313641,9.571563720703125,42.44370490866864,0.9994733859650925,,unavailable,unverified_lpips
CAPS,kodak_03,512,82,32,10.7153,6.59787,174568,5.327392578125,39.15225990402469,0.9987696571457476,,unavailable,unverified_lpips
CAPS,kodak_03,512,82,64,10.2811,6.609,162392,4.955810546875,39.15225990402469,0.9987696571457476,,unavailable,unverified_lpips
CAPS,kodak_03,512,70,32,9.83033,6.10062,131795,4.022064208984375,37.16258272410927,0.9977152074470729,,unavailable,unverified_lpips
CAPS,kodak_03,512,50,32,9.12679,6.033,100755,3.074798583984375,34.9469697028144,0.9959860412069407,,unavailable,unverified_lpips
