phase,name,ns,cycles,tid,layer,band,channel,bytes,kv
encode,input_planes,4922940.0,10829287,1915305904,0,0,0,0,
encode,chroma_ds,3136909.0,6900611,1915305904,0,0,0,0,
encode,pyramid,15191509.0,33417838,1915305904,0,0,0,0,
encode,chunk,207143.0,485792,1915305904,0,0,0,1381,
encode,chunk,233814.0,516626,1915305904,0,0,1,1442,
encode,chunk,176776.0,390582,1915305904,0,0,2,1006,
encode,chunk,114926.0,255309,1915305904,1,1,0,635,
encode,chunk,100198.0,221877,1915305904,1,2,0,623,
encode,chunk,116367.0,257984,1915305904,1,3,0,714,
encode,chunk,307963.0,687635,1915305904,1,1,1,796,
encode,chunk,197798.0,439456,1915305904,1,2,1,774,
encode,chunk,323241.0,718958,1915305904,1,3,1,789,
encode,chunk,66982.0,149923,1915305904,1,1,2,316,
encode,chunk,74065.0,165029,1915305904,1,2,2,296,
encode,chunk,62793.0,139718,1915305904,1,3,2,308,
encode,chunk,269223.0,595622,1915305904,2,1,0,1428,
encode,chunk,262922.0,580421,1915305904,2,2,0,1439,
encode,chunk,279378.0,618576,1915305904,2,3,0,1278,
encode,chunk,280068.0,618805,1915305904,2,1,1,1500,
encode,chunk,300970.0,668451,1915305904,2,2,1,1500,
encode,chunk,226077.0,500328,1915305904,2,3,1,863,
encode,chunk,218413.0,483360,1915305904,2,1,2,111,
encode,chunk,170108.0,376426,1915305904,2,2,2,127,
encode,chunk,169394.0,374585,1915305904,2,3,2,54,
encode,chunk,938095.0,2076712,1915305904,3,1,0,655,
encode,chunk,979699.0,2172342,1915305904,3,2,0,598,
encode,chunk,1146827.0,2536516,1915305904,3,3,0,210,
encode,quant_entropy,11252529.0,24752900,1915305904,0,0,0,0,
encode,stream,115110.0,252947,1915305904,0,0,0,0,
decode,chunk,350596.0,902068,35476201,0,0,0,1381,
decode,chunk,220193.0,485774,35476201,0,0,1,1442,
decode,chunk,166782.0,368155,35476201,0,0,2,1006,
decode,chunk,582931.0,1291513,35476201,1,4,0,1985,
decode,chunk,1054535.0,2326583,35476201,1,4,1,2372,
decode,chunk,211240.0,465844,35476201,1,4,2,933,
decode,chunk,1414711.0,3127120,35476201,2,4,0,4158,
decode,chunk,1515825.0,3348057,35476201,2,4,1,3876,
decode,chunk,382064.0,842677,35476201,2,4,2,271,
decode,chunk,2326636.0,5128868,35476201,3,4,0,1362,
decode,synthesize,31153173.0,68530125,35476201,0,0,0,0,
decode,entropy_all,39505794.0,86903360,35476201,0,0,0,0,
