phase,name,ns,cycles,tid,layer,band,channel,bytes,kv
encode,input_planes,678750.0,0,622701596,0,0,0,0,
encode,chroma_ds,279000.0,0,622701596,0,0,0,0,
encode,pyramid,4837750.0,0,622701596,0,0,0,0,
encode,chunk,123209.0,0,622701596,0,0,0,1381,
encode,chunk,116708.0,0,622701596,0,0,1,1442,
encode,chunk,88541.0,0,622701596,0,0,2,1006,
encode,chunk,58916.0,0,622701596,1,1,0,635,
encode,chunk,60125.0,0,622701596,1,2,0,623,
encode,chunk,67417.0,0,622701596,1,3,0,714,
encode,chunk,72667.0,0,622701596,1,1,1,796,
encode,chunk,72292.0,0,622701596,1,2,1,774,
encode,chunk,73959.0,0,622701596,1,3,1,789,
encode,chunk,34875.0,0,622701596,1,1,2,316,
encode,chunk,33125.0,0,622701596,1,2,2,296,
encode,chunk,33500.0,0,622701596,1,3,2,308,
encode,chunk,143292.0,0,622701596,2,1,0,1428,
encode,chunk,143375.0,0,622701596,2,2,0,1439,
encode,chunk,133958.0,0,622701596,2,3,0,1278,
encode,chunk,143834.0,0,622701596,2,1,1,1500,
encode,chunk,143750.0,0,622701596,2,2,1,1500,
encode,chunk,110291.0,0,622701596,2,3,1,863,
encode,chunk,87292.0,0,622701596,2,1,2,111,
encode,chunk,89167.0,0,622701596,2,2,2,127,
encode,chunk,85958.0,0,622701596,2,3,2,54,
encode,chunk,359458.0,0,622701596,3,1,0,655,
encode,chunk,356625.0,0,622701596,3,2,0,598,
encode,chunk,327792.0,0,622701596,3,3,0,210,
encode,quant_entropy,3724625.0,0,622701596,0,0,0,0,
encode,stream,7333.0,0,622701596,0,0,0,0,
decode,chunk,127000.0,0,622701596,0,0,0,1381,
decode,chunk,132458.0,0,622701596,0,0,1,1442,
decode,chunk,101541.0,0,622701596,0,0,2,1006,
decode,chunk,192625.0,0,622701596,1,4,0,1985,
decode,chunk,219917.0,0,622701596,1,4,1,2372,
decode,chunk,114542.0,0,622701596,1,4,2,933,
decode,chunk,472083.0,0,622701596,2,4,0,4158,
decode,chunk,457250.0,0,622701596,2,4,1,3876,
decode,chunk,181500.0,0,622701596,2,4,2,271,
decode,chunk,954708.0,0,622701596,3,4,0,1362,
decode,synthesize,5985000.0,0,622701596,0,0,0,0,
decode,entropy_all,8946250.0,0,622701596,0,0,0,0,
